Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M)
Jan Paul van Hecke,NED,Brighton,Premier League,Brighton & Hove Albion,24,185.0,78.0,Right,22,21,1791,0.02,3.06,0.16,0.0,0.0,0.0,139.5,154.6,2667.6,0.0,13.26,154.6,144.8,9.69,139.5,2.58,0.0,4.85,2.6900000000000004,2.85,1.85,0.16,0.95,1.32,0.37,0.95,5.91,4.33,0.0,179.5,5.11,40.7,112.9,26.79,140.6,766.2,377.6,5.07,5.91,0.68,5.79,0.16,0.05,0.05,0.63,1.63,0.16,2.79,2.6900000000000004,9.91,2.16,2.85,6.0
Luis Hernandez,ESP,Cádiz,La Liga,Cadiz,35,183.0,75.0,Right,21,19,1785,0.0,0.26,0.05,0.0,0.0,0.0,48.0,71.8,922.4000000000001,0.0,2.47,71.8,54.400000000000006,17.32,48.0,2.41,0.11,4.59,0.53,1.83,2.71,0.05,2.76,0.95,0.84,0.11,3.24,6.76,0.0,96.6,7.83,41.8,35.3,19.8,38.4,145.7,65.1,0.16,0.11,2.55,2.66,0.26,0.05,0.05,3.0300000000000002,0.21,0.11,1.57,0.53,4.42,2.3,1.88,1.8
Lucas Hernandez,FRA,Bayern Munich,Bundesliga,Paris Saint Germain,28,184.0,79.0,Left,20,15,1247,0.0,0.47,0.23,0.0,0.0,0.0,107.7,121.6,1816.8000000000002,0.12,9.56,121.6,115.2,5.79,107.7,3.19,0.23,4.85,2.38,2.43,2.1999999999999997,0.23,0.54,1.8900000000000001,0.42000000000000004,1.47,2.92,2.37,0.0,141.89999999999998,6.1,46.5,77.4,19.23,97.6,485.0,236.9,1.9699999999999998,2.55,0.7,3.42,0.54,0.0,0.0,1.8,3.08,0.0,1.19,2.38,13.21,1.45,1.19,40.5
Isak Hien,SWE,Hellas Verona,Serie A,Atalanta,25,191.0,90.0,Right,37,33,3086,0.0,0.06,0.0,0.0,0.0,0.0,58.1,77.8,1367.1,0.0,2.52,77.8,66.5,11.06,58.1,0.9299999999999999,0.0,2.77,1.32,2.0799999999999996,0.7,0.0,0.92,1.01,0.38,0.63,1.25,3.21,0.0,91.0,36.15,66.8,22.29,2.72,45.6,213.8,109.1,0.76,0.51,0.44,0.13,0.55,0.0,0.0,2.22,0.49,0.0,0.06,1.32,9.389999999999999,3.2,1.6300000000000001,10.5
Piero Hincapie,ECU,Leverkusen,Bundesliga,Bayer 04 Leverkusen,22,183.0,77.0,Left,27,16,1548,0.01,2.68,1.25,0.0,0.0,0.0,101.0,129.2,1564.0,0.0,8.84,129.2,117.1,12.05,101.0,2.62,0.12,7.79,5.23,4.99,2.74,0.06,1.25,3.67,1.9300000000000002,1.74,3.05,5.96,0.06,164.5,11.67,54.1,78.1,32.68,99.2,588.5,287.3,7.6,5.11,0.37,11.86,0.49,0.12,0.12,1.3,4.23,0.0,7.86,5.23,15.48,2.85,3.67,33.0
Rob Holding,ENG,Arsenal,Premier League,Crystal Palace,28,189.0,75.0,Right,28,21,1685,0.0,0.76,0.11,0.05,0.0,0.0,58.6,74.1,1051.6,0.11,9.0,74.1,71.3,2.49,58.6,7.54,0.32,6.78,5.76,5.7,0.86,0.22,0.59,1.35,0.59,0.76,1.24,6.73,0.0,96.1,13.46,45.9,39.8,11.4,36.6,144.5,70.1,1.19,1.03,0.97,0.92,0.16,0.0,0.0,1.35,0.81,0.05,2.05,5.76,17.68,5.59,0.76,5.5
Mason Holgate,ENG,Everton,Premier League,Sheffield United,27,184.0,75.0,Right,25,24,2019,0.03,2.52,0.37,0.21,0.05,0.05,73.0,100.0,1400.2,0.26,10.65,100.0,90.9,8.46,73.0,6.91,1.1400000000000001,3.12,1.85,2.26,0.76,0.11,1.8399999999999999,2.66,0.56,2.1,2.52,6.96,0.0,122.4,8.66,30.549999999999997,59.1,33.26,72.6,340.7,156.2,2.38,2.99,0.53,9.870000000000001,0.49,0.05,0.05,1.7799999999999998,1.6400000000000001,0.11,7.42,1.85,9.68,1.88,2.73,4.4
Martin Hongla,CMR,Valladolid,La Liga,Granada,26,181.0,77.0,Right,23,23,2053,0.04,2.01,0.46,0.05,0.05,0.09,42.9,66.2,844.5,0.05,4.32,66.2,59.699999999999996,4.17,42.9,4.08,0.32,1.28,0.46,0.41,0.46,0.41,0.87,1.19,0.23,0.96,0.78,0.59,0.0,80.1,0.59,29.24,30.700000000000003,21.52,53.9,305.8,139.7,2.47,1.23,1.55,6.07,1.1600000000000001,0.0,0.0,2.8600000000000003,1.87,0.32,5.45,0.46,7.300000000000001,1.8900000000000001,3.0300000000000002,4.4
Timo Hubers,GER,Köln,Bundesliga,FC Koln,27,190.0,82.0,Right,31,24,2294,0.0,0.57,0.0,0.09,0.0,0.0,82.0,103.9,1564.7,0.09,4.74,103.9,90.5,13.09,82.0,2.29,0.09,2.64,1.6,1.73,0.8200000000000001,0.09,1.1,1.8,0.6,1.21,2.55,7.38,0.0,123.7,12.97,57.7,49.0,18.25,67.1,375.0,199.5,2.94,2.12,0.68,5.5,0.64,0.0,0.0,2.31,1.62,0.18,3.4899999999999998,1.6,12.989999999999998,3.28,2.82,8.0
Mats Hummels,GER,Dortmund,Bundesliga,Borussia Dortmund,35,191.0,94.0,Right,31,17,1601,0.03,2.66,0.88,0.0,0.0,0.0,92.1,111.10000000000001,1742.3000000000002,0.4,6.4399999999999995,111.10000000000001,106.19999999999999,4.75,92.1,4.48,0.56,3.02,1.29,1.3699999999999999,1.5699999999999998,0.08,1.54,2.16,0.94,1.23,2.2399999999999998,3.75,0.0,135.10000000000002,7.390000000000001,41.9,64.0,30.240000000000002,93.2,584.0,293.70000000000005,5.86,3.4699999999999998,2.39,11.190000000000001,0.31,0.0,0.0,1.3399999999999999,1.23,0.88,5.76,1.29,8.79,3.0900000000000003,2.2,13.5
