Player,Age,Squad,Height,Weight,Foot,Value
Rubén Iranzo CB RB,20,"Valencia
2021 ~ 2025","182cm / 6'0""",69kg / 152lbs,Right,€975K
N. Michelis CB,22,"Osasuna
Jun 30, 2024 On loan","192cm / 6'4""",79kg / 174lbs,Left,€1.1M
A. Yaakobishvili CB,18,"Girona
2023 ~ 2028","193cm / 6'4""",86kg / 190lbs,Right,€1.1M
A. Gilchrist CB,19,"Chelsea
2022 ~ 2025","184cm / 6'0""",78kg / 172lbs,Right,€975K
S. Curtis RB CB RWB,17,"Sheffield United
2024 ~ 2027","185cm / 6'1""",76kg / 168lbs,Right,€1M
O. Offiah CB RB,20,"Brighton & Hove Albion
2021 ~ 2024","181cm / 5'11""",81kg / 179lbs,Right,€900K
Kim Ji Soo CB,18,"Brentford
2023 ~ 2027","192cm / 6'4""",73kg / 161lbs,Right,€875K
J. Jacquet CB,17,"Clermont
Jun 30, 2024 On loan","188cm / 6'2""",77kg / 170lbs,Right,€925K
M. Doucouré CB CDM,25,"Borussia Mönchengladbach
2016 ~ 2024","183cm / 6'0""",78kg / 172lbs,Left,€525K
R. Smajić CB,19,"FC Köln
2022 ~ 2025","190cm / 6'3""",82kg / 181lbs,Right,€975K
Marco Moreno CB,22,"Atlético Madrid
2022 ~ 2025","191cm / 6'3""",78kg / 172lbs,Right,€825K
Pau Cubarsí CB,16,"FC Barcelona
2023 ~ 2026","182cm / 6'0""",75kg / 165lbs,Right,€925K
Andrés Caro CB RB,19,"Real Betis
2020 ~ 2025","185cm / 6'1""",71kg / 157lbs,Right,€875K
Darío RB CB,20,"Sevilla
2023 ~ 2025","178cm / 5'10""",72kg / 159lbs,Right,€925K
René Pérez CDM CB CM,22,"Almería
2023 ~ 2024","184cm / 6'0""",75kg / 165lbs,Right,€850K
R. Walters RB CB,18,"Arsenal
2022 ~ 2024","183cm / 6'0""",65kg / 143lbs,Right,€800K
W. Kambwala CB,18,"Manchester United
2021 ~ 2025","192cm / 6'4""",77kg / 170lbs,Right,€775K
S. Sané CB CDM,19,"Metz
2023 ~ 2028","182cm / 6'0""",77kg / 170lbs,Right,€725K
B. Meupiyou CB,17,"Nantes
2023 ~ 2028","191cm / 6'3""",76kg / 168lbs,Left,€975K
C. Röcker LWB CB,29,"Werder Bremen
2023 ~ 2026","186cm / 6'1""",77kg / 170lbs,Left,€300K
D. Ihendu CB,17,"Werder Bremen
2023 ~ 2026","194cm / 6'4""",87kg / 192lbs,Right,€775K
M. Tolba RB CB,18,"VfL Bochum 1848
2022 ~ 2025","185cm / 6'1""",76kg / 168lbs,Right,€650K
M. Adopo CM CDM CB,22,"Atalanta
2023 ~ 2027","187cm / 6'2""",84kg / 185lbs,Right,€725K
J. Simić CB RB CDM,18,"Milan
2023 ~ 2025","186cm / 6'1""",77kg / 170lbs,Right,€1M
M. Ilić CB,20,"Bologna
2024 ~ 2026","192cm / 6'4""",90kg / 198lbs,Right,€675K
W. Amey CB,17,"Bologna
2021 ~ 2025","187cm / 6'2""",75kg / 165lbs,Right,€975K
S. Kalaj CB,23,"Frosinone
2022 ~ 2026","193cm / 6'4""",79kg / 174lbs,Right,€675K
Mateus Lusuardi CB,19,"Frosinone
2023 ~ 2026","190cm / 6'3""",80kg / 176lbs,Left,€650K
M. Gómez CB,24,"Atlético Madrid
2022 ~ 2024","197cm / 6'6""",88kg / 194lbs,Right,€600K
S. Pino CB,20,"Deportivo Alavés
2023 ~ 2026","195cm / 6'5""",86kg / 190lbs,Right,€750K
L. Sangaré CM RB CB,21,"Granada
2023 ~ 2024","184cm / 6'0""",77kg / 170lbs,Right,€725K
T. Foran CB,19,"Arsenal
2022 ~ 2024","196cm / 6'5""",86kg / 190lbs,Right,€500K
J. Brooking CB RB,20,"Chelsea
2020 ~ 2024","185cm / 6'1""",77kg / 170lbs,Right,€550K
A. Dorrington CB,18,"Tottenham Hotspur
2023 ~ 2026","192cm / 6'4""",78kg / 172lbs,Right,€750K
A. Lô CB RB,23,"Metz
2019 ~ 2025","183cm / 6'0""",76kg / 168lbs,Right,€500K
T. Buchmann CB,18,"FC Bayern München
2023 ~ 2026","188cm / 6'2""",79kg / 174lbs,Right,€650K
L. Denk CB CDM,20,"FC Bayern München
2023 ~ 2024","185cm / 6'1""",78kg / 172lbs,Right,€500K
E. Bakatukanda CB,19,"FC Köln
2023 ~ 2026","193cm / 6'4""",76kg / 168lbs,Right,€600K
M. Monamay CB CDM,17,"Bayer 04 Leverkusen
2023 ~ 2025","185cm / 6'1""",72kg / 159lbs,Right,€725K
P. Comuzzo CB,18,"Fiorentina
2023 ~ 2025","183cm / 6'0""",75kg / 165lbs,Right,€600K
Lalo Aguilar CB,21,"Atlético Madrid
Jun 30, 2024 On loan","188cm / 6'2""",82kg / 181lbs,Right,€575K
N. Mendy LB CB,18,"Real Betis
Jun 30, 2024 On loan","187cm / 6'2""",80kg / 176lbs,Left,€550K
Javi Domínguez CB,22,"Celta de Vigo
2022 ~ 2026","195cm / 6'5""",83kg / 183lbs,Right,€575K
Diego Méndez CB CM RB,19,"Rayo Vallecano
2021 ~ 2024","182cm / 6'0""",75kg / 165lbs,Right,€550K
A. Nallo CB,16,"Liverpool
2023 ~ 2027","186cm / 6'1""",72kg / 159lbs,Right,€525K
O. Scarles LB LM CB,17,"West Ham United
2022 ~ 2027","180cm / 5'11""",75kg / 165lbs,Left,€550K
B. Fredrick CB RB,18,"Brentford
2023 ~ 2024","187cm / 6'2""",80kg / 176lbs,Right,€550K
Y. Gomis CB,17,"Le Havre
2022 ~ 2025","186cm / 6'1""",70kg / 154lbs,Right,€525K
I. Digberekou CB,18,"Borussia Mönchengladbach
2023 ~ 2026","188cm / 6'2""",78kg / 172lbs,Right,€550K
R. Münz CB,17,"Bayer 04 Leverkusen
2023 ~ 2028","185cm / 6'1""",75kg / 165lbs,Left,€475K
A. Chase CB,19,"VfB Stuttgart
2024 ~ 2024","188cm / 6'2""",81kg / 179lbs,Right,€500K
L. Wilhelm CB,20,"FSV Mainz 05
2023 ~ 2024","186cm / 6'1""",80kg / 176lbs,Right,€450K
N. Engelbreth CDM CB,18,"FC Union Berlin
2024 ~ 2026","186cm / 6'1""",76kg / 168lbs,Right,€500K
O. Ogbemudia CB,16,"FC Union Berlin
2023 ~ 2028","185cm / 6'1""",80kg / 176lbs,Right,€525K
T. Drexler CB,18,"TSG Hoffenheim
2024 ~ 2027","186cm / 6'1""",75kg / 165lbs,Right,€550K
N. König CB,20,"TSG Hoffenheim
2021 ~ 2025","188cm / 6'2""",86kg / 190lbs,Right,€500K
T. Köhler CB,18,"RB Leipzig
2023 ~ 2026","191cm / 6'3""",81kg / 179lbs,Right,€550K
R. Welch CB,19,"Everton
2021 ~ 2026","197cm / 6'6""",88kg / 194lbs,Right,€450K
T. Fredricson CB,18,"Manchester United
2022 ~ 2025","184cm / 6'0""",70kg / 154lbs,Right,€450K
H. Ogunneye RB CB,17,"Manchester United
2022 ~ 2025","175cm / 5'9""",64kg / 141lbs,Right,€475K
L. De Fougerolles CB RB LB,17,"Fulham
2023 ~ 2025","180cm / 5'11""",76kg / 168lbs,Right,€525K
M. Kinsey CB,18,"AFC Bournemouth
2023 ~ 2025","183cm / 6'0""",76kg / 168lbs,Right,€450K
S. Baseya CB,18,"Strasbourg
2023 ~ 2026","189cm / 6'2""",76kg / 168lbs,Right,€475K
E. Kohler CDM CB,18,"Werder Bremen
2023 ~ 2026","183cm / 6'0""",75kg / 165lbs,Right,€500K
P. Schulz CDM CB,18,"FSV Mainz 05
2022 ~ 2025","185cm / 6'1""",80kg / 176lbs,Right,€625K
M. Dal CB,17,"FSV Mainz 05
2023 ~ 2027","188cm / 6'2""",79kg / 174lbs,Left,€525K
M. Braun LB CB,18,"VfL Wolfsburg
2023 ~ 2026","184cm / 6'0""",77kg / 170lbs,Left,€500K
D. Gebuhr CB,20,"Eintracht Frankfurt
2023 ~ 2025","188cm / 6'2""",86kg / 190lbs,Right,€500K
P. Comi CB CDM,18,"Atalanta
2023 ~ 2025","180cm / 5'11""",70kg / 154lbs,Right,€475K
F. Ruggeri CB LB RB,18,"Lazio
2021 ~ 2026","180cm / 5'11""",75kg / 165lbs,Right,€475K
J. Abankwah CB RB,19,"Udinese
2022 ~ 2026","182cm / 6'0""",79kg / 174lbs,Right,€450K
A. Tikvic CB,19,"Udinese
2023 ~ 2028","195cm / 6'5""",89kg / 196lbs,Left,€450K
Arribas CB LB,20,"Rayo Vallecano
2023 ~ 2024","185cm / 6'1""",78kg / 172lbs,Left,€450K
K. Casey CB,18,"West Ham United
2022 ~ 2027","185cm / 6'1""",70kg / 154lbs,Right,€400K
D. Bautista CB,18,"Eintracht Frankfurt
2023 ~ 2028","178cm / 5'10""",75kg / 165lbs,Left,€350K
N. Aberdin CB RB,20,"Getafe
2023 ~ 2024","180cm / 5'11""",75kg / 165lbs,Right,€375K
M. Forbes CB,19,"West Ham United
2022 ~ 2026","188cm / 6'2""",76kg / 168lbs,Left,€325K
L. Laing CB RB,20,"West Ham United
2021 ~ 2024","188cm / 6'2""",74kg / 163lbs,Right,€325K
A. Pond CB,19,"Wolverhampton Wanderers
2022 ~ 2027","188cm / 6'2""",86kg / 190lbs,Right,€350K
O. Tipton CB CDM,19,"Wolverhampton Wanderers
2020 ~ 2025","185cm / 6'1""",74kg / 163lbs,Right,€275K
T. Pittino CB,18,"Genoa
2023 ~ 2026","185cm / 6'1""",78kg / 172lbs,Right,€230K
S. Goglichidze CB,19,"Empoli
2024 ~ 2027","182cm / 6'0""",78kg / 172lbs,Right,€190K
