Player,Age,Squad,Height,Weight,Foot,Value
M. Hasebe CB CDM,39,"Eintracht Frankfurt
2014 ~ 2024","180cm / 5'11""",72kg / 159lbs,Right,€425K
H. Smolčić CB,22,"Eintracht Frankfurt
2022 ~ 2027","185cm / 6'1""",80kg / 176lbs,Left,€3.4M
S. Nsoki CB,24,"TSG Hoffenheim
2022 ~ 2027","184cm / 6'0""",83kg / 183lbs,Left,€3.4M
M. Bauer CB,23,"FC Augsburg
2022 ~ 2027","189cm / 6'2""",84kg / 185lbs,Right,€4.4M
C. Zimmermann CB,30,"Darmstadt 98
2022 ~ 2025","194cm / 6'4""",92kg / 203lbs,Right,€1.9M
C. Klarer CB,23,"Darmstadt 98
2023 ~ 2027","191cm / 6'3""",82kg / 181lbs,Right,€3.4M
B. Gimber CB CDM,26,"Heidenheim
2023 ~ 2025","187cm / 6'2""",84kg / 185lbs,Left,€2.6M
L. Maloney CDM CB,23,"Heidenheim
2022 ~ 2025","188cm / 6'2""",89kg / 196lbs,Right,€2.9M
M. Ruggeri LWB LM CB,20,"Atalanta
2020 ~ 2026","187cm / 6'2""",79kg / 174lbs,Left,€4.9M
M. Vojvoda LM CB RM,28,"Torino
2020 ~ 2025","186cm / 6'1""",80kg / 176lbs,Right,€2.4M
B. Bereszyński RB CB RM,30,"Empoli
Jun 30, 2024 On loan","182cm / 6'0""",77kg / 170lbs,Right,€2M
A. Ismajli CB,26,"Empoli
2021 ~ 2025","185cm / 6'1""",76kg / 168lbs,Right,€2.7M
P. Hatzidiakos CB RB,26,"Cagliari
2023 ~ 2027","185cm / 6'1""",75kg / 165lbs,Right,€2.6M
T. Pasalidis CB,26,"Salernitana
2024 ~ 2027","185cm / 6'1""",77kg / 170lbs,Right,€2.7M
L. Ranieri CB LB,24,"Fiorentina
2017 ~ 2026","187cm / 6'2""",76kg / 168lbs,Left,€3.2M
M. Bani CB,29,"Genoa
2020 ~ 2024","188cm / 6'2""",81kg / 179lbs,Right,€2M
C. Okoli CB,21,"Frosinone
Jun 30, 2024 On loan","191cm / 6'3""",91kg / 201lbs,Right,€4.9M
G. Ferrari CB,31,"Sassuolo
2016 ~ 2024","189cm / 6'2""",82kg / 181lbs,Left,€1.6M
Ruan CB,24,"Sassuolo
2021 ~ 2026","187cm / 6'2""",78kg / 172lbs,Right,€3.2M
Beñat Prados CM CB CDM,22,"Athletic Club
2019 ~ 2025","180cm / 5'11""",72kg / 159lbs,Right,€5M
G. González RWB CB RB,28,"Mallorca
2022 ~ 2024","173cm / 5'8""",73kg / 161lbs,Right,€2.1M
A. Abqar CB,24,"Deportivo Alavés
2020 ~ 2025","188cm / 6'2""",80kg / 176lbs,Right,€3.4M
Javi Hernández LB CB,25,"Cádiz
Jun 30, 2024 On loan","182cm / 6'0""",75kg / 165lbs,Left,€3.2M
A. Ousou CB,23,"Cádiz
Jun 30, 2024 On loan","186cm / 6'1""",78kg / 172lbs,Right,€3M
Juanpe CB,32,"Girona
2016 ~ 2024","190cm / 6'3""",80kg / 176lbs,Right,€1.5M
B. Méndez CB RB,23,"Granada
2024 ~ 2027","180cm / 5'11""",77kg / 170lbs,Right,€4.9M
Torrente CB CDM,21,"Granada
2020 ~ 2024","193cm / 6'4""",79kg / 174lbs,Left,€4.4M
J. Quansah CB,20,"Liverpool
2021 ~ 2027","190cm / 6'3""",80kg / 176lbs,Right,€3.8M
R. Drăgușin CB,21,"Tottenham Hotspur
2024 ~ 2029","191cm / 6'3""",80kg / 176lbs,Right,€4.3M
J. Robinson CB,29,"Sheffield United
2020 ~ 2025","180cm / 5'11""",67kg / 148lbs,Left,€1.6M
A. Bell LWB CB,29,"Luton Town
2021 ~ 2025","180cm / 5'11""",76kg / 168lbs,Left,€1.6M
M. Andersen CB,25,"Luton Town
2023 ~ 2026","194cm / 6'4""",82kg / 181lbs,Right,€2.2M
C. Mepham CB,25,"AFC Bournemouth
2019 ~ 2025","190cm / 6'3""",75kg / 165lbs,Right,€2.2M
Fali Candé CB LB,25,"Metz
2022 ~ 2026","184cm / 6'0""",82kg / 181lbs,Left,€2.5M
S. Magassa CB,19,"Monaco
2022 ~ 2024","188cm / 6'2""",75kg / 165lbs,Right,€3.8M
M. Sagnan CB,24,"Montpellier
2024 ~ 2026","187cm / 6'2""",85kg / 187lbs,Left,€2.6M
J. Duverne RB LB CB,25,"Nantes
2023 ~ 2027","184cm / 6'0""",71kg / 157lbs,Right,€2.2M
F. Mendy CB RB,22,"Lorient
2023 ~ 2028","191cm / 6'3""",79kg / 174lbs,Right,€3.9M
