Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M),score_complessivo,similarita_coseno,similarita_ponderata_coseno
James Tarkowski,ENG,Everton,Premier League,Everton,31,188.0,81.0,0,31,22,2084,0.02,5.71,2.56,0.0,0.0,0.0,55.0,70.1,1024.4,0.0,3.0700000000000003,70.1,66.3,3.58,55.0,3.25,0.45,2.96,2.44,1.77,0.74,0.45,0.93,4.98,2.5500000000000003,2.44,1.38,5.43,0.1,98.0,11.25,34.92,46.4,17.5,55.6,283.6,129.8,2.65,0.55,1.96,10.69,0.64,0.0,0.0,4.59,3.35,0.45,0.45,2.44,7.51,6.85,5.74,14.5,0.0638947628649895,0.7683642883196028,0.6957470983272852
Milan Skriniar,SVK,Inter,Serie A,Paris Saint Germain,29,188.0,80.0,0,30,25,2135,0.01,3.96,1.29,0.0,0.0,0.0,69.47,80.6,1241.0,0.0,4.29,80.6,76.9,3.65,69.47,2.05,0.2,1.75,1.16,0.75,0.79,0.21,0.75,1.3,0.64,0.66,0.79,3.08,0.16,98.7,8.41,38.67,45.01,15.39,62.0,279.1,129.6,1.64,0.73,1.14,2.98,0.66,0.05,0.05,3.52,1.34,1.4200000000000002,0.41,1.16,6.85,2.09,4.05,31.5,0.04975347002537228,0.759196013764566,0.6865623589003884
Niklas Sule,GER,Dortmund,Bundesliga,Borussia Dortmund,28,195.0,99.0,0,20,13,1190,0.01,1.09,0.39,0.0,0.0,0.0,102.6,116.9,1891.9,0.16,8.02,116.9,110.8,6.09,102.6,3.8,0.31,4.78,0.63,2.55,2.08,0.16,4.31,11.41,0.86,10.55,2.7,4.029999999999999,0.0,146.3,12.48,51.7,86.3,12.6,85.6,323.6,168.3,1.33,2.03,6.31,3.83,2.08,0.0,0.0,2.39,0.31,0.0,0.78,0.63,21.86,1.33,5.09,38.5,0.03016309241303373,0.7601409203395556,0.686119855611473
Matteo Lovato,ITA,Salernitana,Serie A,Torino,24,188.0,78.0,0,27,24,2136,0.04,1.52,0.46,0.0,0.0,0.0,79.3,95.2,1351.5,0.15,4.54,95.2,83.4,11.54,79.3,1.59,0.26,3.54,2.54,2.35,0.94,0.26,1.5,1.86,0.69,1.17,1.99,6.17,0.53,114.8,8.54,48.2,49.900000000000006,18.04,61.3,289.79999999999995,166.0,2.8,2.31,1.25,4.75,0.1,0.0,0.0,1.97,1.1,0.1,1.74,2.54,9.53,3.83,2.4,3.9,0.030163092413033738,0.7495572429625545,0.6765945459721722
Adama Soumaoro,FRA,Bologna,Serie A,Bologna,32,187.0,91.0,0,35,30,2697,0.09,1.68,0.8700000000000001,0.0,0.0,0.0,58.4,67.4,1032.4,0.25,4.02,67.4,64.2,2.59,58.4,2.89,0.38,1.58,0.8400000000000001,0.56,0.76,0.27,0.25,0.91,0.51,0.4,1.27,4.39,0.13,84.4,7.31,32.83,36.900000000000006,15.260000000000002,52.4,307.9,131.5,1.91,1.45,2.27,5.59,0.42,0.07,0.07,2.03,1.86,0.49,0.37,0.8400000000000001,7.6,2.13,2.33,2.1,0.1353047097721531,0.7407639490166115,0.6756196828085668
Aitor Paredes,ESP,Athletic Club,La Liga,Athletic Club,24,186.0,79.0,0,25,13,1291,0.03,4.609999999999999,2.03,0.0,0.0,0.0,42.6,54.7,820.9,0.08,4.609999999999999,54.7,53.2,1.5699999999999998,42.6,3.59,0.16,3.52,1.88,1.88,1.17,0.47,2.73,2.97,1.25,1.7200000000000002,4.07,0.55,0.0,80.5,4.53,24.51,38.8,18.53,53.2,279.0,110.9,1.25,0.47,1.88,6.41,0.31,0.08,0.08,2.19,3.91,0.16,0.47,1.88,10.63,2.11,2.97,11.0,0.023483218663082544,0.7471477580481803,0.673985153469859
Dan Axel Zagadou,FRA,Stuttgart,Bundesliga,VfB Stuttgart,25,196.0,90.0,1,22,10,1072,0.01,3.86,1.34,0.0,0.0,0.0,67.5,83.6,1241.0,0.0,3.04,83.6,78.9,4.36,67.5,3.03,0.34,1.85,0.8400000000000001,1.02,0.34,0.5,1.01,1.86,1.53,0.34,1.19,6.09,0.34,103.9,9.82,41.3,43.7,19.37,59.0,236.4,120.6,1.34,1.0,1.34,5.0,0.67,0.0,0.0,2.35,2.17,0.5,0.17,0.8400000000000001,6.92,4.04,4.69,12.0,0.22310269100116623,0.7313183360595941,0.672913093023431
Ben Davies,WAL,Tottenham,Premier League,Tottenham Hotspur,31,181.0,76.0,1,41,34,3032,0.18,3.96,1.83,0.06,0.23,0.23,58.2,72.6,944.8,0.12,7.109999999999999,72.6,68.3,3.93,58.2,3.59,0.5900000000000001,1.22,0.55,0.44,0.61,0.1699999999999999,0.89,1.71,0.44,1.29,0.8700000000000001,3.31,0.0,93.2,4.8100000000000005,26.11,45.0,22.5,59.6,348.1,185.8,3.48,2.37,2.91,10.12,0.3,0.0,0.0,2.09,2.42,0.96,1.56,0.55,6.44,2.76,4.029999999999999,8.5,0.0031475345846160097,0.7384877401414165,0.6648490296598446
Maximiliano Caufriez,BEL,Clermont Foot,Ligue 1,Clermont,27,189.0,83.0,0,20,16,1445,0.0,3.25,0.13,0.0,0.0,0.0,64.19999999999999,85.0,977.3,0.0,4.09,85.0,82.5,2.47,64.19999999999999,7.66,1.43,1.3,0.71,0.97,0.32,0.0,0.32,2.92,0.71,2.21,4.42,3.44,0.0,107.7,7.47,31.06,40.0,38.49,68.4,385.5,201.3,2.53,2.34,1.56,11.79,0.52,0.06,0.06,2.47,2.6,1.49,2.86,0.71,8.31,0.91,0.52,3.3,0.1353047097721531,0.7285938352085359,0.6646665803812989
Joe Scally,USA,M'Gladbach,Bundesliga,Borussia Monchengladbach,21,184.0,80.0,0,29,17,1637,0.0,3.16,1.49,0.0,0.0,0.0,65.6,93.2,1066.4,0.0,4.220000000000001,93.2,76.3,16.25,65.6,6.37,0.18,1.96,0.83,0.95,1.01,0.0,0.3,0.71,0.3,0.42,0.3,2.44,0.0,113.8,3.75,21.47,46.900000000000006,46.8,74.4,505.4,242.7,5.12,4.4,4.89,19.2,0.06,0.0,0.0,2.56,7.32,0.06,10.06,0.83,8.629999999999999,0.65,2.5,6.0,0.018280927755802444,0.7355307735177927,0.6631865283326699
Luca Caldirola,ITA,Monza,Serie A,Monza,33,186.0,79.0,1,23,15,1361,0.0,0.34,0.07,0.0,0.0,0.0,66.1,81.1,1121.5,0.0,3.08,81.1,76.5,4.470000000000001,66.1,0.55,0.07,0.96,0.48,0.55,0.21,0.21,0.41,1.03,0.48,0.55,0.96,2.26,0.0,94.3,7.53,33.7,45.3,17.56,67.9,429.7,267.1,6.62,2.48,6.07,6.75,0.21,0.0,0.0,5.23,3.03,2.0,2.21,0.48,7.84,1.78,1.16,2.7,0.023483218663082544,0.7321612633020637,0.660497308198354
Martin Hongla,CMR,Valladolid,La Liga,Granada,26,181.0,77.0,0,23,23,2053,0.04,2.01,0.46,0.05,0.05,0.09,42.9,66.2,844.5,0.05,4.32,66.2,59.7,4.17,42.9,4.08,0.32,1.28,0.46,0.41,0.46,0.41,0.87,1.19,0.23,0.96,0.78,0.59,0.0,80.1,0.59,29.24,30.700000000000003,21.52,53.9,305.8,139.7,2.47,1.23,1.55,6.07,1.16,0.0,0.0,2.8600000000000003,1.87,0.32,5.45,0.46,7.300000000000001,1.89,3.03,4.4,0.004051557190550467,0.732871900733274,0.6598544375748853
Malick Thiaw,GER,Schalke 04,Bundesliga,Milan,22,191.0,80.0,0,32,23,2046,0.13,3.04,1.7,0.0,0.0,0.06,98.5,123.6,1993.7,0.12,7.25,123.6,121.0,2.2,98.5,3.87,0.47,4.07,3.1100000000000003,2.33,1.39,0.35,0.56,3.45,2.6,0.8600000000000001,4.06,13.32,0.71,163.2,21.07,77.05,66.9,19.88,88.8,365.7,153.5,1.7,1.73,2.6,8.02,0.79,0.0,0.0,3.66,2.84,0.58,0.06,3.1100000000000003,10.77,10.29,5.26,22.0,0.10536759259575874,0.7200945021375852,0.6550414007449098
Leo Skiri Ostigard,NOR,Napoli,Serie A,Napoli,24,182.0,81.0,0,22,17,1424,0.03,3.59,0.6,0.0,0.0,0.07,78.39999999999999,96.3,1576.3,0.0,5.39,96.3,90.8,5.12,78.39999999999999,3.41,0.0,1.77,0.07,1.05,0.64,0.07,0.07,0.82,0.15,0.67,1.47,4.39,0.0,117.9,5.45,39.7,57.3,20.98,73.0,448.3,238.2,2.22,1.77,1.27,7.06,0.57,0.0,0.0,2.77,2.49,1.42,0.52,0.07,4.41,8.52,3.44,6.5,0.014229379523447447,0.7245422643169365,0.6530294773232368
Gianluca Mancini,ITA,Roma,Serie A,Roma,28,190.0,77.0,0,23,22,1829,0.0,0.64,0.1,0.0,0.0,0.0,112.4,131.9,2156.6,0.05,2.43,131.9,129.2,2.43,112.4,1.19,0.1,1.49,0.69,1.14,0.3,0.05,0.25,0.99,0.4,0.59,1.68,12.13,0.0,169.6,16.83,59.9,107.1,3.12,106.2,366.8,163.4,0.45,0.4,0.25,0.54,0.2,0.0,0.0,11.19,0.84,0.05,0.74,0.69,13.51,1.93,1.04,38.5,0.038740220088236306,0.7110818529480313,0.6425327653701218
Warmed Omari,FRA,Rennes,Ligue 1,Rennes,24,188.0,76.0,0,20,5,697,0.0,0.34,0.17,0.17,0.0,0.0,109.2,130.6,2257.3,0.17,6.96,130.6,119.8,10.72,109.2,2.24,0.69,2.6,0.86,1.38,0.53,0.69,1.74,2.44,0.17,2.27,2.6100000000000003,5.92,0.53,152.0,9.42,57.8,74.8,21.93,108.2,663.2,351.7,2.76,1.03,0.69,9.66,0.8700000000000001,0.53,0.0,2.25,2.9400000000000004,0.17,6.38,0.86,14.64,5.95,2.97,7.0,0.018280927755802444,0.6955995966095362,0.627248469115239
Aaron Martin,ESP,Mainz 05,Bundesliga,Rayo Vallecano,24,190.0,78.0,0,31,31,2366,0.09,3.01,0.92,0.5700000000000001,0.19,0.35,56.6,75.3,918.6,0.23,5.48,75.3,58.2,16.71,56.6,4.8100000000000005,0.38,2.41,1.49,1.39,0.57,0.44,0.8,1.56,0.25,1.2999999999999998,0.86,1.81,0.0,90.7,2.85,16.84,40.8,34.0,43.8,203.2,86.19999999999999,2.0,1.52,1.52,7.1,0.44,0.0,0.0,2.3200000000000003,1.08,1.08,7.53,1.49,6.619999999999999,0.92,1.87,2.5,0.049753470025372275,0.691190082904156,0.6253570211260193
Luis Hernandez,ESP,Cádiz,La Liga,Cadiz,35,183.0,75.0,0,21,19,1785,0.0,0.26,0.05,0.0,0.0,0.0,48.0,71.8,922.4,0.0,2.47,71.8,54.400000000000006,17.32,48.0,2.41,0.11,4.59,0.53,1.83,2.71,0.05,2.76,0.95,0.84,0.11,3.24,6.76,0.0,96.6,7.83,41.8,35.3,19.8,38.4,145.7,65.1,0.16,0.11,2.55,2.66,0.26,0.05,0.05,3.03,0.21,0.11,1.57,0.53,4.42,2.3,1.88,1.8,0.004051557190550467,0.6706050398228276,0.6038142627554836
Marcao,BRA,Sevilla,La Liga,Sevilla,28,185.0,80.0,1,24,24,2160,0.0,0.0,0.0,0.0,0.0,0.0,81.9,98.7,1855.8,0.05,3.3,98.7,84.5,13.8,81.9,0.2,0.1,0.5,0.5,0.25,0.25,0.0,0.0,0.75,0.75,0.0,1.3,3.5,0.0,109.8,40.5,76.3,32.25,1.25,65.2,340.0,182.8,0.25,0.05,0.0,0.0,0.5,0.0,0.0,1.25,1.55,0.0,0.0,0.5,5.25,1.55,1.0,16.0,0.02348321866308255,0.6627165673497145,0.5979970818412397
Jean Charles Castelletto,CMR,Nantes,Ligue 1,Nantes,29,186.0,78.0,0,24,22,1919,0.0,0.37,0.12,0.0,0.0,0.0,63.8,84.2,1481.2,0.0,3.62,84.2,68.1,16.04,63.8,0.81,0.0,1.78,1.04,1.41,0.31,0.06,0.43,1.1,0.67,0.43,2.27,4.64,0.4,97.4,37.370000000000005,63.400000000000006,31.4,2.94,55.4,255.0,129.5,0.67,0.92,0.18,0.74,0.12,0.0,0.0,0.74,1.26,0.0,0.31,1.04,8.67,2.94,1.35,5.5,0.018280927755802444,0.6544390767044189,0.5902040012006335
Tyrone Mings,ENG,Aston Villa,Premier League,Aston Villa,31,196.0,77.0,1,20,19,1737,0.0,0.05,0.0,0.0,0.0,0.0,41.9,49.9,831.1,0.05,3.0,49.9,48.1,1.74,41.9,0.79,0.16,10.42,6.78,6.88,3.54,0.0,3.54,4.49,0.58,3.91,1.68,4.21,0.05,75.8,12.8,39.47,34.5,1.89,39.03,193.23,101.2,0.47,0.32,3.54,0.32,0.21,0.0,0.0,0.68,3.96,0.05,0.11,6.78,5.21,1.58,4.22,14.5,0.023483218663082544,0.652522046030128,0.5888220126536119
Emmanuel Agbadou,CIV,Reims,Ligue 1,Stade de Reims ,27,192.0,86.0,0,20,18,1610,0.0,0.79,0.11,0.0,0.0,0.0,63.4,80.8,1210.9,0.11,3.31,80.8,78.5,2.25,63.4,1.18,0.17,12.58,11.63,2.02,0.56,10.0,0.73,1.12,0.51,0.62,1.18,4.33,0.11,112.3,8.48,52.9,47.5,12.53,53.5,264.2,134.4,0.62,0.67,0.51,0.28,0.11,0.11,0.0,1.01,0.28,0.0,0.0,11.63,18.2,1.85,11.35,7.0,0.6065167471281854,0.6024376467727924,0.582224905636547
Moussa Niakhate,FRA,Nott'ham Forest,Premier League,Nottingham Forest,28,190.0,85.0,1,22,14,1147,0.04,4.22,1.93,0.0,0.0,0.09,34.7,48.8,573.6,0.18,2.66,48.8,46.2,2.4,34.7,2.27,0.18,1.65,0.36,0.56,0.55,0.55,1.94,1.83,0.56,1.27,0.74,10.36,0.0,82.0,12.56,33.290000000000006,27.700000000000003,21.22,32.8,128.8,47.9,0.73,0.73,3.29,7.82,0.36,0.0,0.0,4.22,0.73,0.55,0.64,0.36,6.25,8.2,10.42,11.0,0.28647956856092865,0.6224936616187373,0.5791536120496361
Montassar Talbi,TUN,Lorient,Ligue 1,Lorient,26,190.0,81.0,0,45,45,4050,0.01,0.18,0.09,0.0,0.0,0.0,67.7,84.69999999999999,1545.1,0.05,1.27,84.69999999999999,70.1,14.52,67.7,0.44,0.05,1.32,0.55,1.05,0.27,0.0,0.32,0.91,0.55,0.36,1.0,5.029999999999999,0.18,96.7,43.8,74.4,22.06,0.59,66.5,405.5,234.7,0.23,0.23,0.14,0.0,0.0,0.0,0.0,0.55,0.64,0.0,0.05,0.55,4.859999999999999,2.31,0.86,5.5,0.10536759259575874,0.6289999597136867,0.5730563125634012
Keven Schlotterbeck,GER,Bochum,Bundesliga,VfL Bochum 1848,27,189.0,86.0,1,25,21,1841,0.09,2.87,1.3,0.06,0.0,0.0,67.6,83.1,1172.4,0.06,2.87,83.1,74.6,7.75,67.6,1.71,0.23,2.29,1.43,1.6800000000000002,0.49,0.12,0.23,6.91,6.06,0.86,11.12,16.48,0.0,132.6,19.610000000000003,66.08999999999999,50.1,16.94,50.6,235.2,111.3,1.81,1.46,2.33,7.27,0.6,0.06,0.0,2.3600000000000003,7.65,1.05,0.53,1.43,7.81,12.7,6.109999999999999,4.9,0.28647956856092865,0.6127429206775007,0.5703779452025232
Sebastiano Luperto,ITA,Empoli,Serie A,Empoli,27,191.0,75.0,1,30,25,2241,0.03,1.17,0.5,0.0,0.0,0.0,87.9,104.5,1554.6999999999998,0.17,4.28,104.5,92.8,11.47,87.9,2.27,0.45,3.2,2.33,1.48,0.8300000000000001,0.9,1.07,3.11,2.02,1.1,2.24,7.46,0.17,126.1,17.490000000000002,58.9,56.5,11.52,70.1,306.4,170.9,1.9,2.0700000000000003,0.45,1.52,1.18,0.28,0.22,2.95,1.76,0.0,1.91,2.33,11.02,2.09,3.04,8.5,0.03016309241303373,0.6249990229607185,0.5644921479705197
Jamaal Lascelles,ENG,Newcastle Utd,Premier League,Newcastle United,30,188.0,83.0,0,24,18,1538,0.06,3.41,0.75,0.0,0.0,0.0,31.1,38.6,555.8,0.19,2.09,38.6,37.0,1.64,31.1,2.08,0.25,1.52,0.44,1.02,0.38,0.13,0.31,2.81,1.67,1.14,0.0,9.27,0.0,60.5,13.51,25.19,21.6,14.03,34.0,152.4,45.8,1.32,1.26,1.13,4.4,2.56,0.0,0.0,3.9,2.55,0.63,0.06,0.44,2.14,4.46,2.53,6.5,0.10536759259575873,0.44219809821685324,0.40493463721625095
