Player,Nation,Squad 22-23,Comp,Actual Squad,Age,Height,Weight,Foot,MP,Starts,Min,Goals,Shots,SoT,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotDist,Assists,PasProg,PasAtt,PasLive,PasDead,PasCmp,SCA,GCA,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDriPast,Blocks,BlkSh,BlkPass,Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CarDis,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Recov,AerWon,AerLost,Value (M),score_complessivo,similarita_coseno,similarita_ponderata_coseno
Mamadou Fall,SEN,Villarreal,La Liga,FC Barcelona,22,189.0,74.0,0,20,19,1619,0.01,1.19,0.34,0.34,0.0,0.0,80.9,103.2,1515.1,0.28,9.32,103.2,81.4,21.56,80.9,3.56,0.4,1.75,0.96,0.73,0.73,0.28,0.51,4.18,0.11,4.0600000000000005,1.19,4.29,0.0,136.1,8.03,36.53,65.69999999999999,35.0,77.5,442.8,214.5,3.79,3.56,1.64,4.12,0.17,0.0,0.0,4.23,2.54,0.0,8.81,0.96,19.68,0.79,1.24,2.9,0.014229379523447444,0.830177540697683,0.7481012260659087
Enzo Ebosse,CMR,Udinese,Serie A,Udinese,25,185.0,75.0,1,21,9,1008,0.0,0.3,0.0,0.0,0.0,0.0,98.4,114.0,1988.2,0.0,9.6,114.0,104.4,9.44,98.4,0.79,0.0,4.12,3.52,1.09,3.03,0.0,0.4,5.21,1.41,3.8,2.81,7.42,0.0,136.1,13.03,63.6,65.7,8.04,75.2,417.0,243.4,2.0,0.69,0.3,1.88,0.3,0.0,0.0,1.8,1.31,0.1,1.49,3.52,8.39,1.49,1.39,2.7,0.006702826493428498,0.8252865695040742,0.7432026170556064
Mateusz Wieteska,POL,Clermont Foot,Ligue 1,Cagliari,27,187.0,77.0,0,43,43,3730,0.04,3.18,1.52,0.38,0.0,0.05,57.5,77.4,1011.9,0.31,4.62,77.4,67.6,9.22,57.5,4.41,0.95,1.54,0.86,0.8300000000000001,0.65,0.05,0.8200000000000001,1.53,0.74,0.79,1.89,4.41,0.14,95.2,8.97,32.12,40.3,23.380000000000003,56.900000000000006,296.1,155.7,1.4,0.8400000000000001,0.72,7.67,0.22,0.0,0.0,0.57,1.29,0.32,5.23,0.86,8.42,2.9000000000000004,2.43,2.0,0.018280927755802437,0.8238472262108143,0.7426713357563893
Robert Gumny,POL,Augsburg,Bundesliga,FC Augsburg,26,182.0,71.0,0,25,15,1419,0.01,0.35,0.21,0.0,0.0,0.0,65.7,92.9,1138.3000000000002,0.07,7.78,92.9,75.80000000000001,16.36,65.7,3.33,0.14,3.01,1.79,1.23,1.51,0.28,1.3,1.51,0.95,0.56,1.26,4.27,0.07,118.6,7.779999999999999,31.1,56.900000000000006,31.09,62.5,247.6,79.7,1.26,0.98,4.03,9.64,0.88,0.0,0.0,8.45,2.31,0.0,3.93,1.79,12.64,5.12,5.12,2.2,0.0011355622705847123,0.8240583238130997,0.7417297694867621
Ramy Bensebaini,ALG,M'Gladbach,Bundesliga,Borussia Dortmund,29,187.0,82.0,1,38,38,3408,0.06,1.4,0.45,0.11,0.06,0.06,72.1,89.80000000000001,1432.3000000000002,0.05,3.57,89.80000000000001,71.7,17.6,72.1,1.38,0.16,1.56,1.01,0.95,0.5,0.11,0.39,1.66,0.56,1.11,1.17,4.34,0.06,105.6,35.910000000000004,61.6,31.6,13.0,56.2,264.0,131.5,1.51,0.56,0.73,3.69,0.17,0.0,0.0,1.0,1.78,0.11,1.28,1.01,7.720000000000001,2.71,1.39,12.5,0.0638947628649895,0.8158788508907264,0.7385102046412965
Alessandro Buongiorno,ITA,Torino,Serie A,Torino,25,190.0,86.0,1,39,27,2463,0.02,2.88,0.68,0.0,0.0,0.0,46.66,63.1,763.3,0.17,4.49,63.1,61.0,1.83,46.66,3.1500000000000004,0.5700000000000001,2.28,1.27,0.7899999999999999,1.15,0.34,0.42,2.15,0.98,1.17,2.62,3.46,0.13,87.5,5.819999999999999,26.69,43.5,18.09,46.9,246.3,115.3,2.5,2.01,2.52,6.62,0.47,0.0,0.0,3.87,3.18,0.85,2.0,1.27,7.61,5.43,5.2,25.0,0.3678570901779707,0.7922534328967292,0.7373081327243716
Florian Lejeune,FRA,Rayo Vallecano,La Liga,Rayo Vallecano,33,189.0,89.0,0,23,18,1565,0.03,2.63,0.67,0.79,0.0,0.0,64.1,96.3,1198.3,0.0,4.890000000000001,96.3,89.1,5.8100000000000005,64.1,3.94,0.06,1.09,0.61,0.73,0.3,0.06,2.52,4.24,1.7800000000000002,2.46,0.61,5.470000000000001,0.0,120.5,7.590000000000001,42.3,55.0,24.75,65.80000000000001,378.6,210.5,4.680000000000001,2.58,0.06,7.84,0.24,0.06,0.06,4.0,3.69,0.18,3.39,0.61,11.09,2.12,2.26,7.0,0.3678570901779707,0.7915650638428638,0.7366886005758927
Rob Holding,ENG,Arsenal,Premier League,Crystal Palace,28,189.0,75.0,0,28,21,1685,0.0,0.76,0.11,0.05,0.0,0.0,58.6,74.1,1051.6,0.11,9.0,74.1,71.3,2.49,58.6,7.54,0.32,6.78,5.76,5.7,0.86,0.22,0.59,1.35,0.59,0.76,1.24,6.73,0.0,96.1,13.46,45.9,39.8,11.4,36.6,144.5,70.1,1.19,1.03,0.97,0.92,0.16,0.0,0.0,1.35,0.81,0.05,2.05,5.76,17.68,5.59,0.76,5.5,0.018280927755802437,0.8149240447229477,0.7346404724173093
Boubakar Kouyate,MLI,Montpellier,Ligue 1,Montpellier,27,192.0,78.0,0,22,21,1707,0.02,1.65,0.41,0.35,0.06,0.06,101.5,121.1,1928.1,0.29,10.76,121.1,113.8,7.18,101.5,5.85,0.47,3.56,2.12,1.21,2.12,0.24,1.26,3.29,1.24,2.06,2.62,1.97,0.56,140.2,5.97,46.4,74.8,20.7,92.4,511.9,232.5,1.91,1.74,0.41,1.88,0.12,0.0,0.0,2.8200000000000003,2.12,0.06,5.18,2.12,17.97,3.65,3.21,3.5,0.0820525422958824,0.8100386823438487,0.7344524240186411
Craig Dawson,ENG,West Ham,Premier League,Wolverhampton Wanderers,34,188.0,77.0,0,26,18,1642,0.04,3.95,1.48,0.0,0.0,0.0,100.4,119.6,1906.8,0.37,4.84,119.6,114.2,4.58,100.4,4.83,0.74,3.23,1.74,2.12,0.98,0.12,2.1,4.35,2.75,1.6,1.24,10.99,0.5,151.3,22.5,73.34,55.6,23.2,83.6,418.4,192.8,1.71,1.85,1.84,6.23,0.75,0.0,0.0,2.23,2.36,0.49,0.25,1.74,14.8,5.36,5.23,5.0,0.023483218663082544,0.8137387539921007,0.7339170498193873
